アルコール分,日本酒度,エキス分,総酸,アミノ酸度,甘辛度,濃淡度,精米歩合,容器,タイプ
15.418,2.289,3.694,1.224,0.58,0.088,-1.046,74.15,紙パック,一般酒
15.066,-2.612,4.434,1.061,0.901,-0.056,-1.033,69.12,紙パック,一般酒
16.327,4.649,3.985,0.677,1.075,-0.157,-0.916,69.63,茶色瓶,一般酒
15.947,2.022,4.194,1.042,1.106,0.11,-1.038,71.63,茶色瓶,一般酒
15.194,0.436,4.496,1.434,1.119,-0.32,-0.966,NA,茶色瓶,一般酒
15.421,0.89,3.933,0.986,1.46,0.062,-0.926,67.74,NA,一般酒
15.372,9.701,4.939,1.214,1.415,-0.091,-0.949,66.79,茶色瓶,一般酒
15.181,3.24,4.303,0.889,0.489,-0.138,-1.033,69.65,茶色瓶,一般酒
15.148,-1.317,5.217,1.22,1.217,-0.241,-0.882,71.61,茶色瓶,一般酒
15.549,2.3890000000000002,4.924,0.793,1.491,-0.039,-0.988,69.79,茶色瓶,一般酒
16.081,9.514,4.176,1.5270000000000001,0.622,0.104,-0.973,69.63,茶色瓶,一般酒
15.539,5.467,3.915,NA,1.262,-0.434,-0.973,72.42,茶色瓶,一般酒
14.695,7.127,5.176,1.205,1.043,0.144,-0.99,NA,茶色瓶,一般酒
15.55,7.519,3.5460000000000003,1.013,1.1179999999999999,0.16,-1.002,72.04,茶色瓶,一般酒
15.142,-0.806,3.653,1.181,1.3900000000000001,-0.36,-0.99,61.69,茶色瓶,一般酒
16.31,1.335,3.914,1.133,1.513,-0.064,-0.994,64.51,緑色瓶,一般酒
13.943,5.146,4.744,0.859,0.883,-0.23,-0.997,72.42,緑色瓶,一般酒
15.442,8.442,NA,1.159,1.071,-0.364,-0.843,69.01,紙パック,一般酒
16.759,0.482,3.637,1.3860000000000001,1.591,-0.007,-0.948,69.29,紙パック,一般酒
13.968,3.392,3.701,1.213,1.483,-0.129,-0.891,73.92,茶色瓶,一般酒
15.867,8.472,5.311,1.213,1.504,-0.154,-1.006,66.85,紙パック,一般酒
15.39,1.655,4.714,1.371,2.039,-0.147,-1.024,70.81,茶色瓶,一般酒
15.334,-2.509,5.291,1.48,1.184,-0.106,-1.013,69.93,茶色瓶,一般酒
15.452,3.6790000000000003,3.752,1.283,1.12,-0.109,-0.992,73.84,茶色瓶,一般酒
15.607,7.271,4.598,1.016,1.518,0.088,-0.953,69.23,茶色瓶,一般酒
14.854,4.219,4.046,1.395,1.713,-0.07,-1.012,67,茶色瓶,一般酒
15.767,4.249,6.263,1.2,0.939,-0.191,-0.956,62.58,茶色瓶,一般酒
15.27,5.118,3.419,1.195,0.595,-0.13,-1.007,68.21,茶色瓶,一般酒
14.953,-2.333,5.06,1.133,0.885,0.272,-0.98,NA,その他色瓶,一般酒
15.26,1.9220000000000002,3.572,1.1,1.126,-0.031,-1.042,70.67,茶色瓶,一般酒
15.251,9.183,4.498,1.096,1.081,-0.033,-0.953,68.96,緑色瓶,一般酒
15.009,1.504,4.307,0.973,1.434,-0.463,NA,67.8,茶色瓶,一般酒
15,1.187,3.971,1.554,0.509,-0.283,-1.022,73.57,茶色瓶,一般酒
14.437,1.76,4.876,1.307,0.892,-0.035,-1.095,73.72,茶色瓶,一般酒
16.118,2.344,3.5380000000000003,1.2429999999999999,1.38,-0.097,-1.208,70.65,茶色瓶,一般酒
15.464,2.358,4.534,1.17,1.647,-0.371,-1.018,75.48,茶色瓶,一般酒
15.691,5.614,5.437,0.736,0.903,-0.057,-1.129,67.78,茶色瓶,一般酒
15.465,5.611,3.656,1.379,0.946,-0.075,-0.96,70.13,紙パック,一般酒
15.872,3.49,5.105,1.152,1.479,0.05,-0.995,68.1,茶色瓶,一般酒
15.512,-3.413,4.303,1.4929999999999999,1.478,-0.284,-1.102,72.18,NA,一般酒
15.884,5.735,4.838,0.987,1.204,-0.071,-1.019,66.65,茶色瓶,一般酒
15.778,0.548,5.35,1.159,0.177,-0.195,-1.013,70.21,その他色瓶,一般酒
13.807,6.701,5.349,1.161,0.738,-0,-0.979,71.09,茶色瓶,一般酒
14.676,-2.241,5.579,1.147,1.112,-0.19,-0.97,69.4,緑色瓶,一般酒
14.822,0.88,4.938,0.887,1.327,-0.05,-1.056,70.68,緑色瓶,一般酒
15.936,5.7780000000000005,4.045,0.825,1.09,0.029,-0.864,67.58,茶色瓶,一般酒
14.497,2.484,5.872,0.921,1.38,-0.217,-1.08,71.35,茶色瓶,一般酒
15.654,4.58,5.086,1.471,1.877,-0.449,-0.906,68.87,その他色瓶,一般酒
15.959,5.691,4.745,1.109,1.674,0.035,-1.001,71.04,茶色瓶,一般酒
14.439,1.96,4.221,1.161,1.571,0.351,-1.072,65.04,茶色瓶,一般酒
15.087,5.293,5.571,1.293,0.671,-0.003,-1.039,67.02,茶色瓶,一般酒
15.605,7.938,4.854,0.663,1.011,-0.492,-0.907,66.23,紙パック,一般酒
15.112,4.974,4.478,1.058,2.144,0.029,-0.957,65.69,茶色瓶,一般酒
16.384,6.409,4.683,1.6360000000000001,1.7650000000000001,-0.143,-0.928,70.73,緑色瓶,一般酒
15.74,7.761,5.577,1.089,1.536,0.152,-1.063,69.31,茶色瓶,一般酒
13.645,11.496,4.601,1.802,0.933,-0.08,-0.959,74.83,NA,一般酒
14.733,9.659,5.85,0.903,1.415,-0.353,-1.052,71.31,茶色瓶,一般酒
16.528,-0.5,4.271,1.745,1.968,-0.064,-1.01,69.1,茶色瓶,一般酒
15.012,3.071,4.452,1.03,1.504,-0.05,-0.93,72.53,茶色瓶,一般酒
14.22,2.792,4.558,1.256,1.4969999999999999,-0.062,-1.016,66.53,茶色瓶,一般酒
